topic_id,top_words,n_docs
0,"ascp, certified, hire, technologist, medical, specimen, reps, accredited, certification, laboratory",82
1,"eurofins, agroscience, food, companies, forensics, eat, rely, drink, labelling, biggest",71
2,"jhu, equivalency, permitted, substitute, johns, hopkins, covid, conviction, vaccination, vaccine",61
3,"qc, quality, charles, river, gmp, cgmp, investigations, control, audits, release",59
4,"nist, prep, johns, jhu, hopkins, covid, vaccination, vaccine, holders, institutions",52
5,"gsk, ahead, oncology, biomarker, businesses, disease, translational, authorization, agencies, cms",48
6,"johnson, jnj, calendar, treatments, tomorrow, medtech, innovative, smarter, spring, profoundly",45
7,"genscript, probio, usa, gene, 2002, therapy, proactive, 1548, hk, covers",44
8,"rutgers, rbhs, newark, brunswick, posting, details, season, screenings, exemption, biomedical",42
9,"army, kic, threats, arl, bsl, interagency, dod, defense, countermeasures, approximately",37
10,"bms, careers, roles, myers, squibb, bristol, occupancy, interesting, onsite, site",35
11,"penn, cultural, philadelphia, family, home, specialist, tuition, underwriting, admission, recreational",34
12,"quest, lifted, test, carried, objects, unsolicited, agency, honors, paying, diagnostics",32
13,"rutgers, posting, details, brunswick, season, njit, sas, screenings, exemption, prospective",31
14,"otsuka, downstream, manufacturing, upstream, occasionally, constantly, process, cgmp, cdmos, batch",31
15,"apex, parsons, goldbelt, imagine, bsl, bid, seamlessly, experts, supplementary, secret",30
16,"pittsburgh, attachments, vitae, curriculum, retinal, pitt, clearances, chen, hillman, assignment",30
17,"legend, biotech, vector, receptor, immunotherapy, lvv, autologous, cell, supported, somerset",29
18,"crime, workday, asr, penn, student, state, login, security, concerning, institutional",26
19,"teva, lc, ms, frontage, bioanalytical, dmpk, bioanalysis, qps, proteomics, mass",26
20,"wetland, waters, environmental, restoration, soil, energy, permitting, njdep, geology, field",24
21,"crime, asr, workday, student, security, concerning, login, penn, state, statistics",24
22,"pittsburgh, lieu, finalists, substitution, effort, campus, technician, tbd, elsner, visa",24
23,"antibody, protein, jude, st, guidehouse, multispecific, structural, purification, computational, proteins",24
24,"umaryland, maryland, umb, postdoctoral, fellows, baltimore, micor, dr, taleo, pkd",23
25,"nih, gov, print, citizens, permanent, fine, chdi, disclaimer, splicing, cancer",23
26,"armstrong, awi, sepax, chemist, hplc, atrium, product, lancaster, formulations, elementis",23
27,"premiums, mathematics, mining, machine, algebra, foundations, algorithms, 8570, artificial, requirement",23
28,"initially, broadest, continuation, pennsylvania, satisfactory, perelman, minorities, monteiro, ethnic, renewal",22
29,"catalent, microbiological, sterility, microbiology, microbiologist, endotoxin, monitoring, aseptic, environmental, cgmp",22
30,"cath, supplemental, shc, staffing, vibra, cardiac, travels, care, byrd, arrt",21
31,"forensic, dna, casework, evidence, typing, examination, testimony, police, afmes, mtdna",21
32,"histotechnician, histology, upmc, histotechnologist, staining, ht, slides, microtomy, cut, tissue",20
33,"phlebotomy, hopkins, serving, johns, jhm, awaits, phlebotomist, displayed, occur, baltimore",20
34,"fisher, thermo, cleaner, intensity, involvement, ppd, remuneration, prospects, colleagues, fri",19
35,"chop, sengupta, fellow, children, noted, acquire, adjusted, shown, shaon, struan",19
36,"tek, gs, electronics, pm, instructional, tu, tekwissen, pulivarthi, ivdd, technician",18
37,"hjf, military, henry, jackson, 1983, minimums, founding, equivalents, preeminent, alike",18
38,"batches, assembling, weighs, sparks, removal, sterilization, quantities, manufactured, solvents, qm",18
39,"alakaina, focs, government, foundation, companies, bsl, llc, clearancejobs, keaki, kāpili",18
40,"skin, revlon, beauty, colgate, oréal, palmolive, consumer, consumers, brand, brands",17
41,"quest, test, unsolicited, differential, worked, respects, blueprint, honors, paying, myday",16
42,"contractor, shall, possess, advice, cto, goldbelt, cbrn, fda, acquisition, technical",15
43,"cgi, mriglobal, youll, peptide, jecho, inotiv, adherence, cgis, aucta, investigation",15
44,"kpg, allied, travel, cath, healthcare, housing, stipend, staffing, coast, host",15
45,"insmed, lilly, workplaces, inhalation, row, accommodation, request, indianapolis, philanthropy, biopharma",15
46,"mellon, carnegie, cmu, psc, breaking, bus, bioprinting, array, deserved, breaks",14
47,"umms, resolves, troubleshoots, confidential, concerns, bayhealth, joseph, responds, cybercriminals, impersonating",14
48,"organoid, axle, institutes, axleinfo, trn, dcap, abet, prk, meant, coerce",14
49,"mccormick, flavor, sweets, ingredient, adm, medium, food, plant, hershey, beverage",14
50,"cancer, rutgers, cinj, institute, extraordinarily, catchment, engender, fears, perseverance, openness",14
51,"rwjbarnabas, fluids, req, jersey, blood, technologist, evening, vastly, greatly, destination",13
52,"cook, msd, tag, myosite, raw, coating, aa, technicial, biotechnique, biotin",13
53,"approximately, cape, fox, bsl, iaw, enrollment, maintained, held, subsidiaries, monthly",13
54,"bms, careers, squibb, myers, roles, bristol, site, onsite, therapy, manufacturing",13
55,"wistar, institute, bedside, brilliant, violence, victim, accelerating, aids, hiv, distinctive",12
56,"azenta, genomic, sequencing, ngs, dotmatics, quo, psomagen, visualization, bioinformatics, plots",12
57,"rahway, intern, hybrid, search, op, merck, francisco, agreement, san, chance",12
58,"jefferson, lehigh, valley, thomas, hou, profit, region, ranked, locust, nationally",11
