uid,title,company,domain,p_rnd,topic_id,topic_prob
in-954dcf32dcce7863|medical laboratory scientist i - serology,Medical Laboratory Scientist I - Serology,Quest Diagnostics,bio,0.985619207223256,12,0.19685964616615462
in-273ffec739f0f333|fermentation engineer f/h,Fermentation Engineer F/H,HTL BIOTECHNOLOGY,bio,0.51161386569341,17,1.0
"li-4245896510|laboratory technician 3 - newark, de, 19702","Laboratory Technician 3 - Newark, DE, 19702",Campus4Tech,bio,0.9087330102920531,-1,0.10685067991571183
li-4301188784|quality control specialist i,Quality Control Specialist I,Lonza,bio,0.8568829496701551,3,0.13455325437660834
li-4275497493|oncology internship graduate advancement program (g.a.p.) scholar,Oncology Internship Graduate Advancement Program (G.A.P.) Scholar,Johnson & Johnson Innovative Medicine,bio,0.918360213438669,6,0.29486958667489344
in-af118c844226e43a|associate research scientist (prep0003538),Associate Research Scientist (PREP0003538),Johns Hopkins University,bio,0.9581242998441061,4,0.8840986722806417
in-eb1b9f12bcd17e81|post-doctoral position - t cell-based immunotherapy,Post-Doctoral Position - T cell-based immunotherapy,"University of Maryland, Baltimore",bio,0.923437158266703,24,1.0
in-99d8104ceec7ac24|scientist 1,Scientist 1,Pace Analytical Services LLC,bio,0.8046148618062331,-1,0.0016685275983731344
in-14a5d515d14be4d8|laboratory technician,Laboratory Technician,CoreTechs Inc.,bio,0.9993381500244141,36,1.0
in-807154079c6d0b12|postdoctoral fellow,Postdoctoral Fellow,National Institutes of Health,bio,0.8438766400019321,25,1.0
li-4224564565|senior scientist - biopharmaceutical services,Senior Scientist - BioPharmaceutical Services,RJ Lee Group,bio,0.798370063304901,-1,0.07873591656522877
li-4270746143|research specialist - 118550,Research Specialist - 118550,The Johns Hopkins University,bio,0.9909066359202061,2,0.015281533728801831
in-316663951202e71d|patient care coordinator,Patient Care Coordinator,"GAP Solutions, Inc.",bio,0.5450953145821891,-1,0.0038892941369416613
in-30b7f06edadfe335|data scientist,Data Scientist,"Base-2 Solutions, LLC",bio,0.821801553169886,27,1.0
in-3a0c5768c12106af|assistant research scientist (prep0003637),Assistant Research Scientist (PREP0003637),Johns Hopkins University,bio,0.9242483377456661,4,1.0
in-e591a39733c66c75|student assistant,Student Assistant,Rutgers University,bio,0.7833699782689411,8,1.0
